model,experiment,cell,n,errors,gated_out,max_concurrency,request_rate,audio_s_per_s,qps,rtf_p99,latency_p99_s,ttfa_p99_s,mean_audio_s
qwen3-omni,ab_2gpu,default_c1,48,0,0,1,inf,4.941,1.397,1.0324,1.3692,,3.537
qwen3-omni,ab_2gpu,default_c2,48,0,0,2,inf,9.116,2.571,1.6185,1.5197,,3.545
qwen3-omni,ab_2gpu,default_c4,48,0,0,4,inf,14.549,4.371,0.4095,1.1064,,3.329
qwen3-omni,ab_2gpu,default_c8,48,0,0,8,inf,16.556,3.92,2.1537,3.072,,4.224
qwen3-omni,ab_2gpu,restage_c12,48,0,4,12,inf,19.574,6.181,29.3495,3.159,,3.437
qwen3-omni,ab_2gpu,restage_c16,48,0,1,16,inf,19.407,5.436,2.6568,3.7642,,3.636
qwen3-omni,ab_2gpu,restage_c2,48,0,0,2,inf,7.473,2.131,1.153,1.6428,,3.507
qwen3-omni,ab_2gpu,restage_c4,48,0,0,4,inf,14.491,3.54,1.188,1.8664,,4.094
qwen3-omni,ab_2gpu,restage_c8,48,0,1,8,inf,16.859,4.238,2.7973,3.0009,,4.053
qwen3-omni,calib1,L2048_c24,60,0,1,24,inf,29.316,7.464,7.4689,4.7114,,3.993
qwen3-omni,calib1,L2048_probe_c1,16,0,0,1,inf,6.493,1.688,0.1991,0.8738,0.3086,3.847
qwen3-omni,calib1,L512_c24,60,0,3,24,inf,25.04,10.424,15.6953,3.5946,,2.52
qwen3-omni,calib1,L512_c32,60,0,6,32,inf,24.837,11.652,22.6867,3.3454,,2.346
qwen3-omni,calib1,L512_probe_c1,16,0,0,1,inf,6.487,1.791,0.205,0.8057,0.3017,3.622
qwen3-omni,calib1,L6343_c16,60,0,3,16,inf,23.452,5.728,8.1681,4.1018,,3.511
qwen3-omni,calib1,L6343_c4,60,0,0,4,inf,11.205,2.935,1.2791,2.574,,3.818
qwen3-omni,calib1,L6343_c8,60,0,2,8,inf,16.897,5.242,3.6891,1.9257,,3.326
qwen3-omni,calib1,L6343_probe_c1,16,0,0,1,inf,4.947,1.454,0.4933,1.1938,0.3623,3.402
qwen3-omni,calib2,P1_L2048_c1,40,0,0,1,inf,6.261,1.787,0.2401,0.8302,0.3125,3.503
qwen3-omni,calib2,P1_L4000_c1,40,0,0,1,inf,5.867,1.708,0.6443,0.8594,0.3158,3.435
qwen3-omni,calib2,P1_L512_c1,40,0,0,1,inf,5.419,1.583,0.7655,1.3097,0.3052,3.423
qwen3-omni,calib2,P1_L6343_c1,40,0,0,1,inf,4.913,1.421,0.7389,1.1217,0.3711,3.457
qwen3-omni,calib2,P1_L9000_c1,40,40,0,1,inf,,,,,,
qwen3-omni,calib2,P2_L2048_c3,200,0,1,3,inf,15.201,3.648,0.7435,2.0509,,4.185
qwen3-omni,calib2,P2_L2048_c4,200,0,3,4,inf,17.73,4.296,1.7391,1.9319,,4.188
qwen3-omni,calib2,P2_L2048_c5,200,1,5,5,inf,18.822,4.812,2.5809,2.0216,,4.006
qwen3-omni,calib2,P2_L2048_c7,200,0,8,7,inf,22.656,6.01,2.0317,2.6765,,3.914
qwen3-omni,calib2,P2_L512_c3,200,0,3,3,inf,13.844,3.436,1.8945,1.6444,,3.985
qwen3-omni,calib2,P2_L512_c4,200,0,0,4,inf,18.348,4.511,1.0006,1.9336,,4.068
qwen3-omni,calib2,P2_L512_c5,200,0,2,5,inf,23.235,6.032,0.8304,1.6342,,3.888
qwen3-omni,calib2,P2_L512_c7,200,0,7,7,inf,23.02,7.427,2.3426,1.8678,,3.202
qwen3-omni,calib2,P2_L6343_c3,200,1,4,3,inf,11.931,3.099,4.8281,1.6844,,3.927
qwen3-omni,calib2,P2_L6343_c4,200,0,3,4,inf,13.142,3.416,12.127,2.0868,,3.905
qwen3-omni,calib2,P2_L6343_c5,200,0,12,5,inf,13.97,3.636,10.2442,2.0872,,4.073
qwen3-omni,calib2,P2_L6343_c6,200,1,3,6,inf,14.629,3.801,2.6538,2.7415,,3.905
qwen3-omni,calib2,P4_L4000_c3,200,0,0,3,inf,13.842,3.242,0.6381,2.2781,,4.27
qwen3-omni,calib2,P4_L4000_c4,200,1,2,4,inf,16.616,4.286,0.9395,2.279,,3.916
qwen3-omni,calib2,P4_L4000_c5,200,0,1,5,inf,19.947,4.743,0.7132,2.6268,,4.226
qwen3-omni,calib2,P4_L4000_c7,200,10,3,7,inf,21.537,6.002,1.1711,2.294,,3.641
qwen3-omni,repeats,rep1_c3,200,0,1,3,inf,10.666,2.728,1.2734,2.3142,,3.929
